City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Maragogi,BR,81.72,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
4,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Faanui,PF,82.15,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Kununurra,AU,73.38,light rain,-15.7667,128.7333,Hotel Kununurra
14,Saint-Leu,RE,76.32,few clouds,-21.15,55.2833,La Caz Oceane
15,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
16,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
17,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,hotel la terminal
25,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Carnarvon,AU,71.13,clear sky,-24.8667,113.6333,Hospitality Carnarvon
38,Banda Aceh,ID,80.49,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
39,Souillac,MU,77.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
47,Sao Filipe,CV,71.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
48,Labuhan,ID,76.86,light rain,-6.8844,112.2051,DoubleFAG
53,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Butaritari,KI,80.56,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Matara,LK,78.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
58,Rayong,TH,85.8,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
59,Alice Town,BS,75.2,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
65,Arraial Do Cabo,BR,77.67,few clouds,-22.9661,-42.0278,Pousada Porto Praia
66,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
73,Ampanihy,MG,76.44,overcast clouds,-24.7,44.75,Angora Hotel
74,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
78,Cauquenes,CL,71.51,clear sky,-35.9671,-72.3225,Viña Don Heraldo
83,Tarakan,ID,79.0,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
84,Nago,JP,72.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
86,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
87,Kudahuvadhoo,MV,84.11,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
89,Buin,CL,73.06,overcast clouds,-33.7333,-70.75,Paihuen
98,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
101,Alto Araguaia,BR,86.09,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
102,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
103,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
114,Culaman,PH,79.45,overcast clouds,5.9603,125.6586,Jasmin Ex House
116,Vila Velha,BR,82.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
119,Victoria,HK,78.19,clear sky,22.2855,114.1577,Mini Hotel Central
120,Caravelas,BR,81.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
122,Rio Tercero,AR,72.72,overcast clouds,-32.173,-64.1141,Hospedaje Las Violetas
125,Maymyo,MM,71.04,clear sky,22.0333,96.4667,Tiger Hotel
130,Bowen,AU,72.39,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
131,Tabuk,PH,72.86,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
133,Atuona,PF,79.07,clear sky,-9.8,-139.0333,Villa Enata
138,Aswan,EG,79.12,overcast clouds,24.0934,32.907,Nuba Nile
139,Kavieng,PG,81.97,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
140,Chak Azam Sahu,PK,81.91,clear sky,30.75,73.0333,Kot Ghazi khan
141,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
142,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
144,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
145,Saint-Pierre,RE,76.91,broken clouds,-21.3393,55.4781,Lindsey Hôtel
146,Lorengau,PG,80.08,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
148,Luwuk,ID,76.14,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
149,Paso De Carrasco,UY,71.26,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
152,Padang,ID,77.27,broken clouds,-0.9492,100.3543,Mercure Padang
153,Iranduba,BR,80.92,moderate rain,-3.2847,-60.1861,Evolução Ecolodge
154,Safford,US,72.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
155,Hithadhoo,MV,83.66,scattered clouds,-0.6,73.0833,Scoop Guest House
156,Norsup,VU,79.7,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
157,Oussouye,SN,73.85,broken clouds,12.485,-16.5469,Auberge du Routard
159,Bodden Town,KY,84.97,broken clouds,19.2833,-81.25,Will T Place
161,Gushikawa,JP,72.63,few clouds,26.3544,127.8686,Kirari Guest House
163,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
167,Gigmoto,PH,78.39,light rain,13.7796,124.39,Cj's Travellers Inn
171,Careiro Da Varzea,BR,81.23,moderate rain,-3.2003,-59.8119,POUSADA DA ALDENORA
172,Buchanan,LR,79.61,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
173,Barranca,PE,71.13,few clouds,-10.75,-77.7667,El Olivar Hospedaje
174,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
176,Dumas,US,81.54,haze,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
177,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
183,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
185,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
187,George Town,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
189,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
193,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
194,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
196,Salto,UY,73.87,overcast clouds,-31.3833,-57.9667,Gran Hotel Uruguay
197,Santiago,CL,72.18,broken clouds,-33.4569,-70.6483,Hotel Panamericano
198,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
202,Caramay,PH,76.78,overcast clouds,10.1815,119.236,Peace and Love Beach Club
203,Buraydah,SA,79.32,few clouds,26.326,43.975,Mövenpick Qassim
205,Honiara,SB,76.37,broken clouds,-9.4333,159.95,Heritage Park Hotel
209,Alofi,NU,81.21,scattered clouds,-19.0595,-169.9187,Taloa Heights
213,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
214,Chuy,UY,70.97,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
216,Kilindoni,TZ,81.59,overcast clouds,-7.9139,39.6668,Bustani B&B
222,Samarai,PG,82.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
225,Mecca,SA,84.18,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
229,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Jacareacanga,BR,79.66,light rain,-6.2222,-57.7528,Casa do Ian😎
235,Ambulu,ID,74.64,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
236,Maceio,BR,85.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
237,Kuala Terengganu,MY,78.73,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
239,Bubaque,GW,74.7,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
240,Lazaro Cardenas,MX,84.67,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
242,Oranjestad,AW,78.48,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
244,Cidreira,BR,72.23,overcast clouds,-30.1811,-50.2056,Hotel Castelo
245,Farafangana,MG,74.41,moderate rain,-22.8167,47.8333,Miarina
248,Ambovombe,MG,74.1,overcast clouds,-25.1667,46.0833,RELAHARA
250,Offa,NG,73.13,moderate rain,8.15,4.7167,Adlag Hotel
260,Salinopolis,BR,79.3,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
262,Kinshasa,CD,78.46,light rain,-4.3246,15.3215,Star Hotel II
265,Sola,VU,81.75,broken clouds,-13.8833,167.55,Leumerus Bungalows
266,Pointe Michel,DM,79.68,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
274,Zhanaozen,KZ,73.26,broken clouds,43.3,52.8,K.korabay 28A
276,Bambanglipuro,ID,75.72,scattered clouds,-7.95,110.2833,Puri Brata
282,Mavelikara,IN,78.13,overcast clouds,9.2667,76.55,Hotel Indraprastha
284,Huarmey,PE,73.74,clear sky,-10.0681,-78.1522,Hotel Miramar
286,Ca Mau,VN,77.23,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
289,Namibe,AO,75.22,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
292,Dakar,SN,72.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
296,Kavaratti,IN,84.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
297,Waingapu,ID,76.41,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
298,Meulaboh,ID,77.45,broken clouds,4.1363,96.1285,Kost Pria
299,Etchoropo,MX,87.42,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
303,Manzanillo,CU,88.88,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
304,Paramonga,PE,71.38,few clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
305,Pemba,MZ,81.79,scattered clouds,-12.974,40.5178,Guesthouse Samotina
308,Sorong,ID,81.27,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
309,Pucallpa,PE,89.64,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
313,Narasannapeta,IN,79.93,broken clouds,18.4167,84.05,AVK events and catering
314,Virginia Beach,US,78.84,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
316,Lang Suan,TH,77.23,overcast clouds,9.9456,99.0785,Langsuan Resort
317,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
319,Nouakchott,MR,73.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
323,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
325,Mayumba,GA,78.39,scattered clouds,-3.432,10.6554,LIKWALE LODGE
327,Jasper,US,79.45,few clouds,37.2001,-94.3502,Guest House Motel
328,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
331,Roebourne,AU,80.96,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
332,Dicabisagan,PH,75.42,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
335,Tanete,ID,73.56,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
336,Vao,NC,75.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
338,Sur,OM,86.56,clear sky,22.5667,59.5289,Sur Plaza Hotel
342,Iralaya,HN,82.72,scattered clouds,15.0,-83.2333,Iglesia morava renovada
343,Sinnamary,GF,80.69,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
345,Catamarca,AR,77.58,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
346,Manakara,MG,72.88,light rain,-22.1333,48.0167,La Residence Manakara
347,Santa Fe,AR,75.02,light rain,-31.6333,-60.7,Conquistador Hotel
351,Conceicao Do Araguaia,BR,86.9,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
353,Monrovia,LR,73.17,overcast clouds,6.3005,-10.7969,Sunset Inn
355,Hualmay,PE,71.71,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
357,Trussville,US,81.25,broken clouds,33.6198,-86.6089,Courtyard by Marriott Birmingham Trussville
364,Yukon,US,84.18,scattered clouds,35.5067,-97.7625,Hampton Inn Oklahoma City/Yukon
372,Jatai,BR,83.21,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
375,Paragominas,BR,82.35,overcast clouds,-2.9667,-47.4833,INOVA
377,Cabo San Lucas,MX,82.71,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
381,Itarema,BR,81.72,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Mahanoro,MG,75.15,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
383,Banjar,ID,75.85,overcast clouds,-8.19,114.9675,The Hamsa Resort
385,Kirakira,SB,80.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
387,Esperantina,BR,83.91,moderate rain,-3.9017,-42.2336,Pousada Recanto Das Aguas
393,Mayo,US,77.52,broken clouds,38.8876,-76.5119,Resorts Resource Group International
396,Kawalu,ID,71.67,overcast clouds,-7.3817,108.2082,West Jontor
397,Sao Felix Do Xingu,BR,86.14,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
399,Bethel,US,70.18,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
400,Ojinaga,MX,88.57,clear sky,29.5667,-104.4167,Suites Las Palmas
401,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
402,Lancaster,US,71.89,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
403,Amuntai,ID,73.31,scattered clouds,-2.4177,115.2494,Hotel Balqis
406,Puerto Leguizamo,CO,87.89,overcast clouds,-0.1934,-74.7819,la casona de juancho
407,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
408,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
410,Maragogipe,BR,85.57,clear sky,-12.7778,-38.9194,Hotel Maragogipe
415,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
419,Auki,SB,78.93,overcast clouds,-8.7676,160.7034,Auki Motel
423,Accra,GH,84.61,few clouds,5.556,-0.1969,Accra City Hotel
426,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
428,Ternate,ID,81.23,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
430,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
431,Bacolod,PH,73.33,overcast clouds,10.6667,122.95,Planta Hotel & Residences
433,Arawa,PG,76.06,overcast clouds,-6.2132,155.5367,Coastline Guest House
435,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
436,Goodlettsville,US,78.12,overcast clouds,36.3231,-86.7133,Baymont by Wyndham Goodlettsville/Nashville
440,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
441,Teknaf,BD,77.5,scattered clouds,20.8624,92.3058,Forestry Guesthouse
443,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
446,Gamboma,CG,80.96,broken clouds,-1.8764,15.8644,Residence N'Keni
450,Akhnur,IN,79.95,overcast clouds,32.8667,74.7333,Pyush Sharma
451,Kon Tum,VN,72.81,overcast clouds,14.35,108.0,Hoa đà spa- homestay
453,Bafq,IR,75.45,clear sky,31.6128,55.4107,Alamdar Hotel
460,Lufilufi,WS,80.38,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
462,Pauini,BR,81.18,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
463,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
464,Batticaloa,LK,79.95,overcast clouds,7.7102,81.6924,Grand Star Guest House
468,Namatanai,PG,78.26,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
470,San Felipe,VE,86.59,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
471,Chickasha,US,84.51,broken clouds,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
472,Cabitan,PH,76.1,moderate rain,12.2943,123.3412,O' Manor Apartment Hotel
473,Ankpa,NG,76.91,light rain,7.3706,7.6253,AA Suites
477,Vavoua,CI,82.45,broken clouds,7.3819,-6.4778,Hotel Le Peuple
480,Punalur,IN,76.82,overcast clouds,9.0,76.9333,Motel Araam
482,Freeport,US,72.37,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
483,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
487,Morant Bay,JM,85.71,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
490,Ponta Pora,BR,75.11,light rain,-22.5361,-55.7256,Hotel Pousada do Bosque
492,Inirida,CO,89.04,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
493,Sabha,LY,78.57,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
494,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
496,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
501,Champasak,LA,74.62,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
502,Mana,GF,82.08,scattered clouds,5.6592,-53.7767,LE SAMANA
503,San Policarpo,PH,78.15,overcast clouds,12.1791,125.5072,Agapita M. Nicart
504,Buta,CD,75.92,clear sky,2.7858,24.73,HOTEL BISO NA BISO
507,Panara,IN,87.37,overcast clouds,22.0667,78.55,Rahul Samuse Wala
508,Jaranwala,PK,82.9,clear sky,31.3333,73.4333,St. 3 Raza Abad
510,Coxim,BR,87.06,light rain,-18.5067,-54.76,Hotel Avenida
513,Biak,ID,75.58,overcast clouds,-0.9131,122.8766,Penginapan Kim
514,Itacoatiara,BR,80.91,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
515,Iberia,US,77.05,overcast clouds,29.9502,-91.7507,back to back rv park
521,Anloga,GH,83.19,light rain,5.7947,0.8973,Pin Drop Hotel
523,Tra Vinh,VN,77.9,scattered clouds,9.9347,106.3453,Hồng Ân
525,Omboue,GA,79.3,broken clouds,-1.5746,9.2618,Hotel Olako
534,Kikwit,CD,77.23,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
535,Ambilobe,MG,74.07,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
536,Taraza,CO,88.3,overcast clouds,7.5836,-75.4007,Hotel Monteverde
537,Akom,CM,74.25,broken clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
538,Axim,GH,81.66,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
541,Mahdasht,IR,75.42,broken clouds,35.7299,50.8111,مشاور املاک مهدی
542,Touros,BR,83.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
545,Port Keats,AU,75.72,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
546,Vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
547,Kolondieba,ML,81.14,light rain,11.0882,-6.8926,Hotel Dakan
548,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
555,Dabola,GN,85.64,overcast clouds,10.75,-11.1167,Hotel Tinkisso
559,Karratha,AU,80.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
560,Wankaner,IN,84.11,clear sky,22.6167,70.9333,Royal Oasis
561,Guthrie,US,85.28,scattered clouds,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
564,Tomigusuku,JP,73.17,broken clouds,26.185,127.675,Hotel Gran View Okinawa
565,Nanakuli,US,78.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
579,Humberto De Campos,BR,82.38,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
580,Forbesganj,IN,80.58,overcast clouds,26.3,87.25,होटल
585,Khanpur,PK,89.24,clear sky,28.6453,70.6567,Ahmad Bartan store
587,Nargana,PA,82.04,overcast clouds,9.4428,-78.5906,Dubbir
590,Bayeux,BR,84.83,few clouds,-7.125,-34.9322,Infinity Motel
593,Ugoofaaru,MV,84.2,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
594,Luganville,VU,77.34,broken clouds,-15.5333,167.1667,The Espiritu Hotel
596,Neiafu,TO,74.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
598,Maharajganj,IN,83.14,overcast clouds,27.1333,83.5667,Pt. Deen Dayal Hostel
602,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
603,Port Blair,IN,82.04,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
608,Mitsamiouli,KM,82.26,overcast clouds,-11.3847,43.2844,Foyer ADM
610,Kisangani,CD,76.06,light rain,0.5167,25.2,Grand Ramela Hotel
612,Havelock,US,84.16,scattered clouds,34.8791,-76.9013,Sherwood Motel
613,Madisonville,US,70.88,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
616,Mabaruma,GY,85.69,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
617,Nisia Floresta,BR,86.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
618,Mahibadhoo,MV,84.27,few clouds,3.7833,72.9667,Omadhoo Inn
621,Balabac,PH,79.48,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
622,Dawson,US,83.62,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
627,Guane,CU,86.83,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
628,Hatillo,PR,85.1,scattered clouds,18.4863,-66.8254,El Buen Hotel
632,Pecos,US,89.69,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
634,Mumford,GH,81.82,light rain,5.2618,-0.759,Spanish Villa
635,Diffa,NE,89.22,broken clouds,13.3154,12.6113,ProDAF/Diffa
639,Barras,BR,84.09,heavy intensity rain,-4.2444,-42.2944,Hotel Alvorada
642,Mackay,AU,71.58,broken clouds,-21.15,149.2,International Lodge Motel
644,Wanning,CN,73.36,clear sky,18.8003,110.3967,Paradise Hotel
646,Sao Jose Da Coroa Grande,BR,81.88,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
647,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
649,Lima,PE,71.38,clear sky,-12.0432,-77.0282,Hotel Kamana
651,Rajpipla,IN,84.34,clear sky,21.8667,73.5,Lal Tower Govt. Guest House
657,Bandarbeyla,SO,81.73,clear sky,9.4942,50.8122,JABIR HOTEL
658,Sampit,ID,73.15,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
667,Gunjur,GM,71.67,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
668,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
669,Bonthe,SL,80.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
670,Isangel,VU,77.56,few clouds,-19.55,169.2667,Tanna Lodge
672,Porbandar,IN,81.07,clear sky,21.6422,69.6093,Lords Inn Porbandar
674,Rafaela,AR,70.99,light rain,-31.2503,-61.4867,Parra Hotel & Suites
680,Camocim,BR,81.75,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
684,Pokhara,NP,72.09,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
686,Majene,ID,77.94,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
687,Independencia,BR,89.49,overcast clouds,-5.3964,-40.3086,Pousada Santa Cruz
690,Mbandaka,CD,77.58,few clouds,0.0487,18.2603,Guest House Epervier
696,Abong Mbang,CM,75.4,light rain,3.9833,13.1833,Auberge Angle Sur
702,Narino,CO,76.82,overcast clouds,5.6089,-75.1766,Estacion de Policia Nariño
703,Gurinhem,BR,85.78,overcast clouds,-7.1239,-35.4244,Afpesp
707,Nabire,ID,75.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
708,Kontagora,NG,88.65,broken clouds,10.3999,5.4695,Queens Guest Inn
709,Dingle,PH,71.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
