City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Albany,US,42.6001,-73.9662,66.63,46,0,12.28,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,65.88,60,100,11.99,light rain
Menongue,AO,-14.6585,17.691,64.09,87,100,0.96,overcast clouds
Maragogi,BR,-9.0122,-35.2225,81.72,73,69,7.36,broken clouds
Hilo,US,19.7297,-155.09,80.28,89,100,8.01,light rain
Katsuura,JP,35.1333,140.3,62.19,95,6,13.0,clear sky
Faanui,PF,-16.4833,-151.75,82.15,72,8,15.66,clear sky
Kropotkin,RU,45.4375,40.5756,42.98,81,100,24.58,overcast clouds
Kununurra,AU,-15.7667,128.7333,73.38,100,100,4.61,light rain
Novikovo,RU,51.1537,37.8879,54.95,85,100,5.61,overcast clouds
Thinadhoo,MV,0.5333,72.9333,84.09,68,17,11.77,few clouds
Sovetskaya Gavan,RU,48.9723,140.2878,25.18,94,100,4.94,overcast clouds
Busselton,AU,-33.65,115.3333,56.32,85,0,9.4,clear sky
Zdvinsk,RU,54.7021,78.661,35.58,87,0,8.01,clear sky
Saint-Leu,RE,-21.15,55.2833,76.32,78,12,10.0,few clouds
Rikitea,PF,-23.1203,-134.9692,78.96,69,7,17.09,clear sky
Kahului,US,20.8947,-156.47,77.85,83,5,3.0,clear sky
Ixtapa,MX,20.7,-105.2,79.83,69,40,11.5,scattered clouds
Nikolskoye,RU,59.7035,30.7861,37.8,93,100,2.51,overcast clouds
Jamestown,US,42.097,-79.2353,65.52,39,20,3.44,few clouds
Mount Gambier,AU,-37.8333,140.7667,45.81,94,0,3.47,clear sky
Leningradskiy,RU,69.3833,178.4167,-7.06,93,98,7.02,overcast clouds
Lompoc,US,34.6391,-120.4579,67.57,37,0,17.27,clear sky
Pevek,RU,69.7008,170.3133,-10.62,83,100,2.3,overcast clouds
Morros,BR,-9.4467,-46.3003,85.37,54,39,5.97,scattered clouds
Bengkulu,ID,-3.8004,102.2655,76.48,89,94,2.68,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-5.19,97,100,6.06,overcast clouds
Rocha,UY,-34.4833,-54.3333,69.17,43,1,7.74,clear sky
Celestun,MX,20.8667,-90.4,90.5,52,92,0.81,overcast clouds
Port Alfred,ZA,-33.5906,26.891,66.18,91,100,9.64,overcast clouds
Bluff,NZ,-46.6,168.3333,48.79,58,99,11.99,overcast clouds
Carnarvon,AU,-24.8667,113.6333,71.13,48,0,18.25,clear sky
Tasiilaq,GL,65.6145,-37.6368,26.76,77,93,4.92,overcast clouds
Hermanus,ZA,-34.4187,19.2345,65.41,82,100,0.85,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,69.03,91,59,8.01,light rain
Ushuaia,AR,-54.8,-68.3,42.46,87,75,32.21,drizzle
East London,ZA,-33.0153,27.9116,67.46,89,100,3.29,light rain
Krasnoselkup,RU,65.7,82.4667,33.33,98,100,16.62,overcast clouds
Banda Aceh,ID,5.5577,95.3222,80.49,81,39,6.49,scattered clouds
Souillac,MU,-20.5167,57.5167,77.18,82,55,17.67,light rain
Sitka,US,57.0531,-135.33,36.93,35,4,9.37,clear sky
Dikson,RU,73.5069,80.5464,23.52,96,100,2.3,overcast clouds
Payson,US,40.0444,-111.7321,36.37,54,100,13.8,moderate rain
Ancud,CL,-41.8697,-73.8203,53.22,65,41,8.23,scattered clouds
Saskylakh,RU,71.9167,114.0833,-12.78,100,94,3.65,overcast clouds
Bathsheba,BB,13.2167,-59.5167,83.01,61,20,23.02,few clouds
Andenes,NO,69.3143,16.1194,35.58,87,75,4.61,broken clouds
Sao Filipe,CV,14.8961,-24.4956,71.49,74,100,12.84,overcast clouds
Labuhan,ID,-6.8844,112.2051,76.86,86,68,5.53,light rain
Araouane,ML,18.9048,-3.5265,91.85,7,38,8.34,scattered clouds
Mataura,NZ,-46.1927,168.8643,48.47,96,92,2.86,overcast clouds
Upernavik,GL,72.7868,-56.1549,13.03,90,100,9.6,overcast clouds
Vostok,RU,46.4856,135.8833,27.86,93,100,1.86,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,84,75,13.8,broken clouds
Iskateley,RU,67.6803,53.1512,30.56,92,98,10.49,overcast clouds
Butaritari,KI,3.0707,172.7902,80.56,79,37,13.6,light rain
Yellowknife,CA,62.456,-114.3525,7.41,72,92,6.82,overcast clouds
Matara,LK,5.9485,80.5353,78.37,88,100,4.27,overcast clouds
Rayong,TH,12.8333,101.4333,85.8,99,58,5.61,broken clouds
Alice Town,BS,25.7167,-79.3,75.2,65,0,18.81,clear sky
Lebu,CL,-37.6167,-73.65,56.05,66,0,16.55,clear sky
Nouadhibou,MR,20.931,-17.0347,65.12,82,5,27.69,clear sky
Bredasdorp,ZA,-34.5322,20.0403,66.49,80,100,2.1,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,51.12,57,99,22.3,overcast clouds
Cape Town,ZA,-33.9258,18.4232,64.89,89,40,7.0,mist
Arraial Do Cabo,BR,-22.9661,-42.0278,77.67,81,18,20.09,few clouds
Avarua,CK,-21.2078,-159.775,73.45,100,75,5.75,light rain
Tuatapere,NZ,-46.1333,167.6833,45.95,82,57,4.7,broken clouds
Lasa,IT,46.6166,10.7002,51.37,90,100,1.19,overcast clouds
Khatanga,RU,71.9667,102.5,-7.11,94,24,7.43,few clouds
Pontypool,GB,51.7011,-3.0444,54.28,87,100,6.26,overcast clouds
Olafsvik,IS,64.8945,-23.7142,37.53,73,41,14.07,scattered clouds
Aklavik,CA,68.2191,-135.0107,17.58,83,69,14.65,broken clouds
Ampanihy,MG,-24.7,44.75,76.44,64,92,12.66,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,77.22,80,39,18.79,light rain
Ulladulla,AU,-35.35,150.4667,56.77,78,94,7.36,overcast clouds
Castro,BR,-24.7911,-50.0119,66.4,96,100,4.9,overcast clouds
Fortuna,US,40.5982,-124.1573,50.94,73,100,5.75,overcast clouds
Cauquenes,CL,-35.9671,-72.3225,71.51,18,9,15.3,clear sky
Alice Springs,AU,-23.7,133.8833,69.22,32,7,1.14,clear sky
Nioro,GM,13.35,-15.75,92.35,25,11,14.0,few clouds
Nizhniye Sergi,RU,56.6614,59.3033,35.29,93,94,6.67,overcast clouds
Saint George,US,37.1041,-113.5841,53.26,13,0,11.5,clear sky
Tarakan,ID,3.3,117.6333,79.0,83,100,8.57,moderate rain
Nago,JP,26.5881,127.9761,72.45,93,27,7.02,scattered clouds
Qaanaaq,GL,77.484,-69.3632,1.4,88,94,4.7,overcast clouds
Yulara,AU,-25.2406,130.9889,84.04,24,93,6.91,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,84.11,75,20,13.2,few clouds
Suluq,LY,31.6682,20.2521,62.55,51,100,11.3,overcast clouds
Buin,CL,-33.7333,-70.75,73.06,24,100,2.75,overcast clouds
Castrillon,ES,43.3979,-6.7922,52.02,86,91,3.69,overcast clouds
Jinxiang,CN,27.4327,120.6062,68.14,95,96,1.66,overcast clouds
Kidal,ML,18.4411,1.4078,93.56,7,1,12.15,clear sky
Golden,US,39.7555,-105.2211,57.29,22,8,18.01,clear sky
Constitucion,CL,-35.3333,-72.4167,63.05,50,92,18.37,overcast clouds
Clyde River,CA,70.4692,-68.5914,3.2,84,100,6.93,overcast clouds
Bathurst,AU,-33.4166,149.5806,53.83,96,100,3.53,overcast clouds
Mwinilunga,ZM,-11.7358,24.4293,61.95,96,12,4.05,light rain
Vaini,TO,-21.2,-175.2,77.16,94,20,4.61,few clouds
Cajamarca,PE,-7.1638,-78.5003,69.87,52,75,5.75,broken clouds
Yantai,CN,37.5333,121.4,49.17,58,100,13.76,overcast clouds
Alto Araguaia,BR,-17.3147,-53.2153,86.09,50,7,7.56,clear sky
Hambantota,LK,6.1241,81.1185,75.54,100,20,0.0,few clouds
Salalah,OM,17.0151,54.0924,80.69,94,20,3.44,few clouds
Alexandria,EG,31.2156,29.9553,59.31,59,5,14.88,clear sky
Fort Nelson,CA,58.8053,-122.7002,15.06,70,100,5.14,overcast clouds
Batemans Bay,AU,-35.7167,150.1833,58.1,85,14,4.18,few clouds
Arman,RU,59.7,150.1667,3.47,83,92,8.03,overcast clouds
Mulanje,MW,-16.0316,35.5,68.52,96,2,3.11,light rain
Tuktoyaktuk,CA,69.4541,-133.0374,11.55,85,55,12.68,broken clouds
San Quintin,MX,30.4833,-115.95,62.15,50,0,23.04,clear sky
Zaozerne,UA,45.1582,33.2787,47.08,65,100,16.28,overcast clouds
Tessalit,ML,20.1986,1.0114,88.63,5,14,11.21,few clouds
Moulins,FR,46.5,3.3333,58.26,63,100,1.54,overcast clouds
Culaman,PH,5.9603,125.6586,79.45,79,100,7.7,overcast clouds
Hasaki,JP,35.7333,140.8333,57.6,93,5,11.79,clear sky
Vila Velha,BR,-20.3297,-40.2925,82.94,77,46,5.01,scattered clouds
Dzerzhinsk,RU,56.2389,43.4631,58.82,58,0,4.47,clear sky
Beringovskiy,RU,63.05,179.3167,18.07,95,100,14.36,snow
Victoria,HK,22.2855,114.1577,78.19,89,10,1.01,clear sky
Caravelas,BR,-17.7125,-39.2481,81.55,68,91,6.42,overcast clouds
Cherskiy,RU,68.75,161.3,-11.63,92,100,2.13,overcast clouds
Rio Tercero,AR,-32.173,-64.1141,72.72,37,90,6.98,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,30.45,75,12,5.26,few clouds
Hobart,AU,-42.8794,147.3294,52.02,83,7,8.05,clear sky
Maymyo,MM,22.0333,96.4667,71.04,46,0,1.3,clear sky
Turukhansk,RU,65.8167,87.9833,32.11,99,100,13.85,snow
Tekirdag,TR,40.978,27.5085,45.75,75,89,5.46,overcast clouds
Barrow,US,71.2906,-156.7887,-0.08,76,100,8.72,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,0,8.95,clear sky
Bowen,AU,-20.0167,148.2333,72.39,84,96,9.04,overcast clouds
Tabuk,PH,17.4189,121.4443,72.86,94,49,0.87,scattered clouds
Moree,AU,-29.4667,149.85,60.82,82,9,8.05,clear sky
Atuona,PF,-9.8,-139.0333,79.07,74,10,16.46,clear sky
Kruisfontein,ZA,-34.0033,24.7314,65.75,79,99,3.44,overcast clouds
Necochea,AR,-38.5473,-58.7368,59.5,64,51,16.69,broken clouds
Pitanga,BR,-24.7572,-51.7614,65.79,99,100,2.68,overcast clouds
Lagoa,PT,39.05,-27.9833,60.71,81,71,20.42,broken clouds
Aswan,EG,24.0934,32.907,79.12,13,99,19.98,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.97,75,34,8.66,scattered clouds
Chak Azam Sahu,PK,30.75,73.0333,81.91,12,0,4.38,clear sky
Bitung,ID,1.4451,125.1824,76.05,82,99,3.33,overcast clouds
The Valley,AI,18.217,-63.0578,81.1,65,75,13.8,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,85,100,9.46,overcast clouds
Calama,CL,-22.4667,-68.9333,70.29,18,0,21.85,clear sky
Saint-Pierre,RE,-21.3393,55.4781,76.91,83,75,17.27,broken clouds
Lorengau,PG,-2.0226,147.2712,80.08,78,15,5.95,few clouds
Sakaiminato,JP,35.55,133.2333,60.4,89,100,3.18,overcast clouds
Luwuk,ID,-0.9516,122.7875,76.14,74,94,3.49,overcast clouds
Paso De Carrasco,UY,-34.8603,-56.0522,71.26,41,0,12.66,clear sky
La Ronge,CA,55.1001,-105.2842,19.6,74,100,11.63,overcast clouds
Thompson,CA,55.7435,-97.8558,29.82,76,100,11.43,overcast clouds
Padang,ID,-0.9492,100.3543,77.27,88,79,2.75,broken clouds
Iranduba,BR,-3.2847,-60.1861,80.92,75,85,5.39,moderate rain
Safford,US,32.834,-109.7076,72.52,30,0,28.77,clear sky
Hithadhoo,MV,-0.6,73.0833,83.66,68,45,11.56,scattered clouds
Norsup,VU,-16.0667,167.3833,79.7,80,96,2.62,overcast clouds
Oussouye,SN,12.485,-16.5469,73.85,66,54,13.38,broken clouds
Yatou,CN,37.15,122.3833,48.02,58,100,16.73,overcast clouds
Bodden Town,KY,19.2833,-81.25,84.97,74,75,17.27,broken clouds
Fairbanks,US,64.8378,-147.7164,37.49,39,0,10.36,clear sky
Gushikawa,JP,26.3544,127.8686,72.63,91,20,10.36,few clouds
Lensk,RU,60.7253,114.9278,14.95,97,88,2.59,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,83,40,0.0,thunderstorm
Matagami,CA,49.7502,-77.6328,42.62,66,21,14.09,few clouds
Port Lincoln,AU,-34.7333,135.8667,63.39,77,24,14.2,few clouds
Roald,NO,62.5833,6.1333,42.33,75,0,8.05,clear sky
Gigmoto,PH,13.7796,124.39,78.39,88,100,9.28,light rain
Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,10.36,broken clouds
Saint-Augustin,CA,51.226,-58.6502,36.36,100,83,5.82,broken clouds
Bugene,TZ,-1.5911,31.1403,61.63,82,100,2.82,overcast clouds
Careiro Da Varzea,BR,-3.2003,-59.8119,81.23,89,99,5.23,moderate rain
Buchanan,LR,5.8808,-10.0467,79.61,86,100,3.69,moderate rain
Barranca,PE,-10.75,-77.7667,71.13,72,16,12.24,few clouds
Quatre Cocos,MU,-20.2078,57.7625,77.09,81,43,18.03,light rain
Uzhhorod,UA,48.6167,22.3,47.84,65,5,5.68,clear sky
Dumas,US,35.8656,-101.9732,81.54,12,75,39.12,haze
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,75,12,11.9,few clouds
Jinchang,CN,38.4953,102.1739,40.32,16,69,3.38,broken clouds
Linqiong,CN,30.4159,103.4609,67.26,71,98,2.98,overcast clouds
Opuwo,NA,-18.0607,13.84,66.94,64,39,8.05,scattered clouds
Kaka,TM,37.3482,59.6143,73.09,24,0,6.98,clear sky
Camara De Lobos,PT,32.6333,-16.9667,68.0,78,20,5.75,few clouds
Katherine,AU,-14.4667,132.2667,77.32,94,100,5.75,overcast clouds
Port Hardy,CA,50.6996,-127.4199,41.27,49,98,13.47,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,84.16,77,43,9.44,light rain
Esperance,AU,-33.8667,121.9,64.35,88,96,10.09,light rain
George Town,MY,5.4112,100.3354,80.53,83,40,0.0,thunderstorm
Pinsk,BY,52.1229,26.0951,39.74,70,6,10.69,clear sky
Nishihara,JP,26.1842,127.7558,72.68,94,75,10.36,broken clouds
Rawson,AR,-43.3002,-65.1023,63.57,27,5,16.08,clear sky
Fairfield,US,41.2668,-73.3162,70.34,54,75,12.66,broken clouds
Kenai,US,60.5544,-151.2583,42.03,58,0,8.05,clear sky
Saint-Joseph,RE,-21.3667,55.6167,75.58,84,55,17.13,light rain
Saint-Philippe,RE,-21.3585,55.7679,76.59,86,95,17.11,light rain
Champerico,GT,14.3,-91.9167,95.54,57,61,11.48,broken clouds
Salto,UY,-31.3833,-57.9667,73.87,43,91,5.99,overcast clouds
Santiago,CL,-33.4569,-70.6483,72.18,35,75,14.97,broken clouds
Natal,BR,-5.795,-35.2094,84.85,70,40,11.5,scattered clouds
Kaoma,ZM,-14.7833,24.8,68.97,78,98,4.83,overcast clouds
Tiznit,MA,29.5833,-9.5,56.35,71,22,11.92,few clouds
Lavrentiya,RU,65.5833,-171.0,17.06,87,100,9.33,overcast clouds
Caramay,PH,10.1815,119.236,76.78,87,99,3.2,overcast clouds
Buraydah,SA,26.326,43.975,79.32,15,17,12.53,few clouds
Husavik,IS,66.0449,-17.3389,35.2,74,100,11.81,overcast clouds
Honiara,SB,-9.4333,159.95,76.37,88,80,4.9,broken clouds
Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,2.3,broken clouds
Linfen,CN,36.0889,111.5189,55.45,73,100,6.24,overcast clouds
Weyburn,CA,49.6668,-103.8511,26.83,42,100,17.45,overcast clouds
Alofi,NU,-19.0595,-169.9187,81.21,74,37,5.14,scattered clouds
Gueugnon,FR,46.6036,4.0629,60.75,72,100,1.92,overcast clouds
Hay River,CA,60.8156,-115.7999,9.36,74,100,7.29,overcast clouds
Mosquera,CO,4.7059,-74.2302,64.49,59,75,11.5,broken clouds
Puerto Escondido,MX,15.85,-97.0667,85.03,74,75,11.5,broken clouds
Chuy,UY,-33.6971,-53.4616,70.97,45,88,8.88,overcast clouds
Nurlat,RU,54.4277,50.8051,45.97,85,10,6.87,clear sky
Kilindoni,TZ,-7.9139,39.6668,81.59,76,100,10.74,overcast clouds
Magadan,RU,59.5667,150.8,3.15,80,88,7.99,overcast clouds
Copiapo,CL,-27.3667,-70.3333,62.29,32,0,8.1,clear sky
Sayyan,YE,15.1718,44.3244,63.25,28,0,8.05,clear sky
Dubrovnik,HR,42.6481,18.0922,53.24,62,0,2.3,clear sky
Severo-Kurilsk,RU,50.6789,156.125,25.74,84,97,3.98,overcast clouds
Samarai,PG,-10.6167,150.6667,82.72,76,96,9.8,overcast clouds
Camacupa,AO,-12.0167,17.4833,63.91,90,68,4.09,light rain
Bilibino,RU,68.0546,166.4372,-1.07,77,100,3.6,overcast clouds
Mecca,SA,21.4267,39.8261,84.18,36,0,3.44,clear sky
Provideniya,RU,64.3833,-173.3,19.87,92,100,17.38,light snow
Codrington,AU,-38.2667,141.9667,49.77,92,50,1.45,scattered clouds
Tyukhtet,RU,56.5389,89.3011,24.01,98,96,3.36,overcast clouds
Mahebourg,MU,-20.4081,57.7,77.25,80,35,19.17,light rain
Yelizovo,RU,53.1873,158.3805,23.14,67,0,8.95,clear sky
Shirvan,AZ,39.9509,48.8994,60.89,41,6,12.46,clear sky
Dubovyy Umet,RU,52.9763,50.2857,52.16,76,100,10.94,overcast clouds
Msowero,TZ,-6.5333,37.2,71.01,94,100,3.02,light rain
Jacareacanga,BR,-6.2222,-57.7528,79.66,92,100,3.02,light rain
